ID_MOEDA;DATA_REF;VLR_COTACAO
USD;27/01/2010 00:00:00;6,981669784
USD;27/01/2010 00:00:00;3,423997402
USD;27/01/2010 00:00:00;5,322144568
USD;27/01/2010 00:00:00;4,579499066
USD;27/01/2010 00:00:00;1,314208627
USD;27/01/2010 00:00:00;2,055584908
USD;27/01/2010 00:00:00;2,893233001
USD;27/01/2010 00:00:00;5,516822338
USD;27/01/2010 00:00:00;7,429499209
USD;27/01/2010 00:00:00;7,958050609
USD;27/01/2010 00:00:00;5,155045867
USD;27/01/2010 00:00:00;7,036847532
USD;27/01/2010 00:00:00;5,119982064
USD;27/01/2010 00:00:00;2,232385516
USD;27/01/2010 00:00:00;2,992362022
USD;27/01/2010 00:00:00;2,997666299
USD;27/01/2010 00:00:00;1,803186357
USD;27/01/2010 00:00:00;2,280742764
USD;27/01/2010 00:00:00;3,633386791
USD;27/01/2010 00:00:00;3,67946136
USD;27/01/2010 00:00:00;7,998394489
USD;27/01/2010 00:00:00;3,447465897
USD;27/01/2010 00:00:00;4,188108683
USD;27/01/2010 00:00:00;3,029895008
USD;27/01/2010 00:00:00;4,492003739
USD;27/01/2010 00:00:00;4,137014806
USD;27/01/2010 00:00:00;2,781990469
USD;27/01/2010 00:00:00;7,068112016
USD;27/01/2010 00:00:00;2,452458978
USD;27/01/2010 00:00:00;1,015932858
USD;27/01/2010 00:00:00;4,510346115
USD;27/01/2010 00:00:00;5,448868513
USD;27/01/2010 00:00:00;1,823644519
USD;27/01/2010 00:00:00;3,428617835
USD;27/01/2010 00:00:00;2,833034277
USD;27/01/2010 00:00:00;1,527206242
USD;27/01/2010 00:00:00;2,235172629
USD;27/01/2010 00:00:00;5,892671645
USD;27/01/2010 00:00:00;1,185644269
USD;27/01/2010 00:00:00;5,36557889
USD;27/01/2010 00:00:00;3,806832433
USD;27/01/2010 00:00:00;7,313418031
USD;27/01/2010 00:00:00;5,613190949
USD;27/01/2010 00:00:00;5,803605855
USD;27/01/2010 00:00:00;2,735286295
USD;27/01/2010 00:00:00;4,723629534
USD;27/01/2010 00:00:00;2,959804535
USD;27/01/2010 00:00:00;5,308461845
USD;27/01/2010 00:00:00;7,954685628
USD;27/01/2010 00:00:00;6,492558539
USD;27/01/2010 00:00:00;2,835938632
USD;27/01/2010 00:00:00;2,427362025
USD;27/01/2010 00:00:00;1,483645499
USD;27/01/2010 00:00:00;3,189551115
USD;27/01/2010 00:00:00;2,344642341
USD;27/01/2010 00:00:00;3,492672622
USD;27/01/2010 00:00:00;7,998119533
USD;27/01/2010 00:00:00;6,630634546
USD;27/01/2010 00:00:00;6,087383211
USD;27/01/2010 00:00:00;5,869085073
USD;27/01/2010 00:00:00;7,59897238
USD;27/01/2010 00:00:00;6,488039911
USD;27/01/2010 00:00:00;3,717666924
USD;27/01/2010 00:00:00;6,369094014
USD;27/01/2010 00:00:00;7,369324684
USD;27/01/2010 00:00:00;6,436387777
USD;27/01/2010 00:00:00;7,555255175
USD;27/01/2010 00:00:00;5,438162327
USD;27/01/2010 00:00:00;6,207336307
USD;27/01/2010 00:00:00;1,415343702
USD;26/07/2010 00:00:00;1,038730025
USD;26/07/2010 00:00:00;4,882241726
USD;26/07/2010 00:00:00;4,525170386
USD;26/07/2010 00:00:00;2,228203595
USD;26/07/2010 00:00:00;3,474418283
USD;26/07/2010 00:00:00;3,754796028
USD;26/07/2010 00:00:00;7,455206573
USD;26/07/2010 00:00:00;4,083465099
USD;26/07/2010 00:00:00;6,032671511
USD;26/07/2010 00:00:00;7,841038585
USD;26/07/2010 00:00:00;7,093942046
USD;26/07/2010 00:00:00;3,717839658
USD;26/07/2010 00:00:00;2,633676827
USD;26/07/2010 00:00:00;7,143205523
USD;26/07/2010 00:00:00;2,114424706
USD;26/07/2010 00:00:00;5,470406473
USD;26/07/2010 00:00:00;1,278367937
USD;26/07/2010 00:00:00;3,735141873
USD;26/07/2010 00:00:00;7,178514659
USD;26/07/2010 00:00:00;4,663035274
USD;26/07/2010 00:00:00;7,026463032
USD;26/07/2010 00:00:00;6,373727798
USD;26/07/2010 00:00:00;2,119863749
USD;26/07/2010 00:00:00;2,319651783
USD;26/07/2010 00:00:00;2,986655533
USD;26/07/2010 00:00:00;6,242323339
USD;26/07/2010 00:00:00;6,767181814
USD;26/07/2010 00:00:00;4,138966203
USD;26/07/2010 00:00:00;1,447629571
USD;26/07/2010 00:00:00;1,364832699
USD;26/07/2010 00:00:00;2,749077499
USD;26/07/2010 00:00:00;7,93164897
USD;26/07/2010 00:00:00;1,935636401
USD;26/07/2010 00:00:00;6,567221045
USD;26/07/2010 00:00:00;4,580951452
USD;26/07/2010 00:00:00;2,966438115
USD;26/07/2010 00:00:00;6,693111777
USD;26/07/2010 00:00:00;1,797357619
USD;26/07/2010 00:00:00;2,52383244
USD;26/07/2010 00:00:00;7,046845675
USD;26/07/2010 00:00:00;5,093751073
USD;26/07/2010 00:00:00;7,781733155
USD;26/07/2010 00:00:00;7,026788056
USD;26/07/2010 00:00:00;7,75553304
USD;26/07/2010 00:00:00;6,680743754
USD;26/07/2010 00:00:00;4,605122149
